title,quantities,ingredients,minutes,tags,steps,description,image_path
peanut butter brownies,"[""2 cup chopped up miniture peanut butter cups"", ""3/4 cup peanut butter"", ""1 cup softened butter"", ""3 cup sugar"", ""2 tbsp vanilla"", ""4 eggs"", ""1 1/2 cup all purpose flour"", ""1 cup unsweetened coca powder"", ""1/2 tsp salt"", ""3/4 cup from packaged reeses pieces""]","[""peanut butter"", ""peanut butter"", ""butter"", ""sugar"", ""vanilla"", ""eggs"", ""flour"", ""coca powder"", ""salt"", ""reeses pieces""]",45,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cookies-and-brownies', 'from-scratch']","['for chocolate:', 'in a large bowl , cream butter , sugar , salt and vanilla', 'add beaten eggs , mix well', 'add cocoa powder', 'when well mixed fold in flour to form stiff dough', 'fold in nuts and white chocolate chips', 'for peanut butter:', 'in medium bowl , cream butter , sugar , brown sugar , salt', 'add beaten eggs', 'when well mixed add peanut butter and mix well', 'fold in flour to make a stiff dough', 'in a 9x13 pan layer 1 / 2 of chocolate evenly in bottom of pan', 'spoon peanut butter cream on top of chocolate in several places around the pan', 'smooth with spatula trying to cover all the chocolate', 'spoon rest of chocolate on top of peanut butter in several places around pan', 'smooth with spatula trying to cover all the peanut butter', 'bake @ 350 degrees f for about 30 minutes or until toothpick inserted in center comes out clean', 'if you like a gooey brownie stop baking when tooth pick comes out a little dirty but not wet', 'i cut my pan 4 rows by 3 rows , yielding 12 pieces']","the ultimate in chocolate decadence. i've used pecans, walnuts, hazelnuts as well as macadamia nuts in this.",30
tres leches cake,"[""1 box of yellow cake mix"", ""1 can of sweetened condensed milk"", ""1 can of evaporated milk"", ""1 cup of whole milk"", ""1 pints of half& half""]","[""cake mix"", ""condensed milk"", ""milk"", ""milk""]",45,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'eggs-dairy', 'easy', 'cakes', 'comfort-food', 'brunch', 'taste-mood', 'number-of-servings']","['preheat over to 350', 'grease or ""pam"" 9x12 baking pan', 'beat eggs in a large bowl', 'add water and cake mix and beat 3 minutes', 'pour batter into pan', 'bake for 30 minutes , or until cake has lost its jiggly center and springs back when touched', 'let cool to room temperature', 'mix the 3 milks', 'poke cake full of holes', 'a chopstick works great for this', ""don't skimp on the holes"", ""that's what allows the cake to absorb the milks"", ""pour the milk mixture over the cake slowly , until it's absorbed the liquid"", 'refrigerate until ready to serve', 'serve as desired', ""if you're serving company , you might cover the cake with whipped cream and fruit"", 'you might just drizzle heavy cream over each serving', 'you might puree a carton of frozen strawberries and use that as a base to serve slices on']","i wanted to make a simple, quick tres leches cake for my family. too many recipes i'd found called for fruit, or meringue, or coconut -- which detracts from the rich milk flavor.",31
simple macaroni and cheese,"[""1/2 lb elbow macaroni"", ""1/2 cup yellow onion finely diced"", ""1 bay leaf"", ""3 tbsp flour"", ""3 tbsp butter"", ""1 tbsp powdered mustard"", ""1/2 tsp paprika"", ""3 cup milk"", ""1 large egg"", ""12 oz sharp cheddar, shredded"", ""1 tsp kosher salt"", ""1 tsp black pepper"", ""3 tbsp panko bread crumbs"", ""3 tbsp butter""]","[""elbow macaroni"", ""yellow onion"", ""bay leaf"", ""flour"", ""butter"", ""powdered mustard"", ""paprika"", ""milk"", ""egg"", ""cheddar"", ""kosher salt"", ""black pepper"", ""bread crumbs"", ""butter""]",45,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'side-dishes', 'eggs-dairy', 'pasta', 'cheese', 'dietary', 'high-calcium', 'inexpensive', 'high-in-something', 'pasta-rice-and-grains', 'elbow-macaroni']","['bring a large pot of water to a boil', 'salt water add pasta and cook for 8 to 10 minutes or until al dente', 'preheat oven to 350f', 'while pasta is cooking begin to make your roux', 'over low heat begin to melt butter', 'once butter is melted add flour', 'whisk constantly to avoid burning', 'if rue burns throw it out and start again', 'you want your rue to be almost a copper brown color', 'it should take a little over 5 minutes', 'once you get your rue to the color you want add the milk while continuing to whisk constantly', 'salt and pepper your sauce to your liking', 'when the mixture begins to boil you will notice your sauce will start to thicken', 'once it is at the thickness you desire remove from heat immediately and add cheese , reserving about a 1 / 4 of a cup of cheddar', 'drain macaroni and return to cooking pot', 'combine cheese sauce with your macaroni', 'pour macaroni and cheese into a 2 quart baking dish', 'sprinkle bread crumbs and remaining cheese over top and bake for 35 minutes until a nice crust forms on the top']",comfort food at its finest!,32
sweet and sour pork,"[""5 lb backrib loin boneless"", ""2 tsp salt"", ""2 tsp granulated garlic powder"", ""1 tsp white pepper powder"", ""1 tsp onion powder"", ""1/2 cup cornstarch"", ""1/2 cup sr flour"", ""1/4 cup shoaxing wine"", ""1/4 cup lite soy sauce"", ""1/4 cup olive oil"", ""1 cup Heinz ketchup"", ""1 cup sugar"", ""1/2 cup rice vinegar"", ""1/2 cup coconut vinegar"", ""1/2 cup water"", ""1/4 cup water (for cornstarch solution)"", ""1/4 cup cornstarch""]","[""backrib loin"", ""salt"", ""garlic"", ""white pepper"", ""onion"", ""cornstarch"", ""flour"", ""shoaxing wine"", ""soy sauce"", ""olive oil"", ""ketchup"", ""sugar"", ""rice vinegar"", ""coconut vinegar"", ""water"", ""water"", ""cornstarch""]",35,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'pork', 'asian', 'dietary', 'meat', 'pork-chops', 'taste-mood', 'sweet', 'number-of-servings', 'presentation', 'served-hot']","['sprinkle pork chops with seasoning blend', 'in nonstick skillet , heat oil over medium-high heat', 'add chops', 'cook , turning once , until browned , 3-4 minutes per side', 'meanwhile , reserve 2 t juice from pineapple chunks', 'in bowl , mix pineapple chunks with remaining juice , vinegar , soy sauce and sugar', 'add to pork and bring to boil', 'reduce heat to medium-low', 'cover', 'simmer until chops are no longer pink in centers , 5-7 minutes', 'remove chops to platter', 'stir cornstarch into reserved pineapple juice', 'stir into skillet', 'bring to a boil', 'cook , stirring , until thickened , 1 minute', 'add scallions , heat through', 'pour sauce over chops', 'if desired , garnish with fresh pineapple']","this recipe calls for mccormick far east sesame ginger blend seasoning. if you don't have this, you can use a pinch each of garlic powder, red pepper flakes and ground ginger. recipe is from woman's world.",33
rum n raisin ice cream...,"[""2 cup heavy cream"", ""1 can sweetened condensed milk"", ""100 fluid oz of dark rum"", ""3 tbsp melted butter"", ""50 grams raisins soaked in the rum for 1-2hrs""]","[""heavy cream"", ""condensed milk"", ""fluid"", ""butter"", ""raisins""]",260,"['course', 'desserts', 'frozen-desserts']","['put the raisins in a bowl , add the rum , and stir together', 'let soak for 2-3 hours , stirring occasionally , until the liquid is absorbed', 'meanwhile , pour the cream into a heavy pan', 'split open the vanilla bean and scrape out the seeds into the cream , then add the whole vanilla bean', 'bring almost to a boil , then remove from the heat and let stand for 30 minutes', 'put the egg yolks and sugar in a large bowl and whisk together until pale and the mixture leaves a trail when the whisk is lifted', 'remove the vanilla bean from the cream and then gradually add the cream to the egg mixture , stirring constantly with a wooden spoon', 'strain the mixture into the rinsed-out pan or a double boiler and cook over low heat for 10-15 minutes , stirring constantly , until the mixture thickens enough to coat the back of the wooden spoon', 'do not let the mixture boil or it will curdle', 'remove the custard from the heat and let cool for at least 1 hour , stirring occasionally to prevent a skin from forming', ""if using an ice-cream machine , churn the cold custard in the machine following the manufacturer's instructions"", 'just before the ice cream freezes , add the soaked raisins', 'alternatively , freeze the custard in a freezerproof container , uncovered , for 1-2 hours , or until it begins to set around the edges', 'turn the custard into a bowl and stir with a fork or beat in a food processor until smooth', 'fold in the soaked raisins', 'return to the freezer and freezer for 2-3 hours more , or until firm or required', 'cover the container with a lid for storing']",a recipe from the cookbook delicious ice cream.  this is delicious and creamy.  i used 2 cups of whipping cream and 1/2 cup of half and half cream.,34
berry pie,"[""1 cup water"", ""1 cup sugar"", ""3 tablespoons cornstarch"", ""1 prebaked pie crust""]","[""water"", ""sugar"", ""cornstarch"", ""crust""]",70,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'pies-and-tarts', 'desserts', 'fruit', 'summer', 'vegetarian', 'pies', 'dietary', 'low-sodium', 'seasonal', 'low-in-something', 'berries', 'brunch', '4-hours-or-less']","['sift icing sugar into a bowl', 'add flour and stir in well', 'add butter , egg white and 2 tbs of water', 'using the dough hooks of your mixer to knead this first on low level and then on highest level', 'using your hands knead the dough on a floured working surface until it has become smooth', 'wrap in cling film and cool for 1 hour', 'preheat your oven to 200c wash the berries', 'take 1 / 3 of the dough and form it into a long roll', 'place the roll in a pie dish and press it against the rim', 'fill the berries into the pie dish and sprinkle them with sugar', 'take the rest of the dough and roll it out until you have a round disk of the same diameter as your pie dish', 'use a cookie cutter to make a hole in the middel of the disk and then transferr the disk onto the berries', 'press against the sides', 'mix egg yolk with 1 tbs of water and spread the pie crust with it', 'bake for about 25 minutes', 'let cool for 10 minutes in the oven', 'serve with whipped cream or vanilla ice-cream']","this is such a great summer pie, which can be eaten either hot or cold. it's quite easy to make and really looks incredible. goes great with whipped (vanilla-flavoured) cream.
mind: dough needs one hour chilling time.",35
cinnamon caramel swirl bars,"[""1 1/2 cup flour"", ""2 tsp baking powder"", ""2 tsp cinnamon"", ""1/4 tsp salt"", ""1 1/2 cup brown sugar"", ""1 stick melted butter"", ""2 eggs"", ""1 tbsp vanilla"", ""1 cup chopped pecans"", ""14 oz caramels"", ""1/4 cup milk""]","[""flour"", ""baking powder"", ""cinnamon"", ""salt"", ""brown sugar"", ""butter"", ""eggs"", ""vanilla"", ""pecans"", ""caramels"", ""milk""]",40,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'eggs-dairy', 'fruit', 'oven', 'easy', 'microwave', 'beginner-cook', 'potluck', 'finger-food', 'holiday-event', 'cookies-and-brownies', 'bar-cookies', 'nuts', 'eggs', 'superbowl', 'taste-mood', 'sweet', 'to-go', 'equipment', 'number-of-servings', 'presentation']","['preheat oven to 350f mix flour , baking powder , cinnamon and salt in medium bowl', 'set aside', 'mix brown sugar , butter , eggs , vanilla and pecans in large bowl until well blended', 'add flour mixture', 'mix well', 'reserve 1 cup of the batter', 'spread remaining batter into lightly greased foil-lined 13x9-inch baking pan', 'bake 15 minutes or until firm', 'microwave caramels and milk in microwavable bowl on high 2 to 3 minutes or until caramels are completely melted , stirring every minute', 'pour over baked layer in pan , spreading to within 1 / 2 inch of edges', 'drop reserved 1 cup batter by spoonfuls over caramel layer', 'cut through batter with knife several times for marble effect', 'bake 15 to 20 minutes longer or until center is set', 'cool in pan on wire rack', 'lift from pan', 'remove foil', 'cut into 24 bars']","i found this recipe on the www.mccormick.com website.  ""cinnamon is the star ingredient in this indulgent recipe certain to please one and all. this favorite holiday spice combines with gooey caramel for a truly decadent dessert.""",36
meatball sliders,"[""1 lb ground beef"", ""5 oz frozen thawed spinach"", ""1/2 medium finely chopped onion"", ""3 minced garlic cloves"", ""2 tbsp olive oil"", ""1 cup jarred tomatoe sauce"", ""8 dinner rolls"", ""1 cup shredded mozarella""]","[""ground beef"", ""spinach"", ""onion"", ""garlic"", ""olive oil"", ""tomatoe sauce"", ""rolls"", ""mozarella""]",90,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'appetizers', 'beef', 'vegetables', 'ground-beef', 'meat', 'tomatoes', '4-hours-or-less']","['sauce:', 'heat oil in a large , deep nonstick skillet on medium-high heat', 'add next 5 ingredients and cook gently for 5-8 minutes until vegetables are tender', 'add tomatoes and cook uncovered , stirring occasionally until thickened , about 30 minutes', 'meatballs:', 'while the sauce is cooking , stir together breadcrumbs and milk in a large bowl and let sit for 20 minutes', 'add meat , cheese , mustard , eggs', 'blend until combined', 'shape into 40 balls', 'gently add meatballs to thickened sauce', 'cover and cook on medium-low heat for 1 hour , or until meatballs are cooked', 'stir occasionally to coat with sauce', 'assembly:', 'assemble sliders with a meatball and 1 tablespoons sauce per bun , securing each with a pick', 'pulse on / off until you have crumbs', 'do not overprocess', 'you can also serve the sauce and meatballs with pasta as a main course with rice or pasta']","these mini sandwiches are a buffet favorite, and guests will never know just how simple they are to make.  prepare the sauce and meatballs days before your next gathering, and store them in the freezer.  for the party, all you have to do is defrost , heat and assemble the sandwiches.  your guests will love them and so will you!!",38
stuffed jalapenos,"[""14 large jalapenos"", ""2 packages cream cheese"", ""1 package Good Seasons garlic and herb seasoning mix"", ""1 -2 lb bacon""]","[""jalapenos"", ""cream cheese"", ""garlic"", ""bacon""]",60,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'appetizers']","['mix together ranch mix , softened cream cheese , and cheddar cheese in small bowl', 'refrigerate overnight for flavors to combine', 'cut stem end off of jalapeno and slice in half lenghtwise', 'remove all seeds and white ribbing', 'i wear latex gloves to do this and use my fingernail through the glove to remove all of the white', 'the heat is in the white part and the seeds', 'boil jalapenos in water until they are bright green and partially done , about 5 minutes or so', 'be sure to turn on your vent hood , they make you cough when you are boiling them', 'drain them and let them cool for a bit', 'cut each slice of bacon into 3 pieces', 'place a spoonful of cream cheese mixture in the jalapeno', 'wrap slice of bacon around it and secure it with a toothpick', 'place on gas grill or bbq pit and cook until bacon is done', 'serve warm', 'cleaning the jalapenos is time consuming but well worth it', 'they are addicting !']",this is my favorite jalapeno recipe. friends and family always request this at bbq's! these jalapenos will not be hot/spicy if prepared properly. boiling the jalapenos ensures that they are fully done when the bacon is done. the filling tastes the best when prepared a day ahead.,41
ginger glazed mahi mahi,"[""3 tbsp honey"", ""3 tbsp soy sauce"", ""3 tbsp balsamic vinegar"", ""1 tsp ginger"", ""1 garlic clove"", ""2 tsp olive oil"", ""4 6 oz. mahi mahi filets"", ""1 salt and pepper""]","[""honey"", ""soy sauce"", ""balsamic vinegar"", ""ginger"", ""garlic"", ""olive oil"", ""mahi mahi"", ""salt""]",25,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'main-dish', 'seafood', 'fish', 'dietary', 'low-sodium', 'low-calorie', 'low-carb', 'low-in-something']","['use a pan large enough to lay all of the filets inches', 'cover bottom with a thin layer of olive oil', 'stir in butter and cook over medium to low heat until butter is melted', 'stir in onions and shallots', 'cook until they are soft', 'using a garlic press add in the garlic cloves', 'stir in sour cream', 'mix together and cook until sour cream is melted inches', 'spread all ingredients evenly in pan and lay the filets over this', 'squeeze half of the lemon over filets and sprinkle with salt and pepper', 'let cook until that side is done , about 5 minutes', 'turn filets over , squeeze other half of lemon and sprinkle with salt and pepper', 'turn off heat and cover pan', 'leave in pan until done cooking , about another 5 - 7 minutes', 'you can leave them in pan until you are ready to serve to keep warm', ""turning off the heat before they are done cooking helps make sure that they don't get over cooked""]","my husband and i are not big fish fans but our 5 yr old daughter loves fish so i wanted to make some. i couldn't find a recipe i liked so i made this one up. everyone has loved it whenever i have made it, even us non-fish lovers. tasted great and not fishy and really easy to make as well.",43
green chicken enchiladas,"[""12 jalapenos de-viened"", ""1 lb chicken tenderloins"", ""1 can cream of mushroom"", ""1 can cream of chicken"", ""4 cup cheese"", ""1 white corn tortillas"", ""2 tbsp cream cheese softened"", ""1 vegetable oil"", ""1 blender""]","[""chicken"", ""cream of mushroom"", ""cream of chicken"", ""cheese"", ""white corn tortillas"", ""cream cheese"", ""vegetable oil"", ""blender""]",50,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'main-dish', 'mexican', 'meat']","['brown meat , the small onion , and garlic until thouroughly cooked', 'add chili powder , salt , and pepper and set aside', 'soften tortillas by frying in 1 / 2 inch of oil for only a few seconds each', 'do not let them become crisp', 'stack tortillas as you cook', 'to prepare: place a spoonful of meat mixture on a tortilla', 'add a tablespoon each of chopped onion and cheese', 'roll up and place seam-side down in a 9 x 13 inch baking dish', 'prepare remaining tortillas in the same manner', 'sprinkle any remaining meat and cheese on top', 'in a saucepan melt butter on medium heat and add flour and salt', 'stir until bubbly and add milk', 'stir until smooth and slightly thickened', 'add green chilis and remove from heat', 'pour over enchilads and sprinkle more cheese on top , if desired', 'bake at 350 for twenty minutes , or until hot']","from ""recipe hall of fame"" cookbook.  this is the best !  creamy & cheesy.  may be prepared the day before or may be frozen. if preparing ahead, add sauce just before baking.",45
twice baked potatoes casserole,"[""6 medium rosset potatoes"", ""500 grams broccoli"", ""1/2 cup milk"", ""2 tbsp butter"", ""2 cup marble cheese"", ""1 salt and pepper to taste""]","[""rosset potatoes"", ""broccoli"", ""milk"", ""butter"", ""marble cheese"", ""salt""]",65,"['time-to-make', 'main-ingredient', 'preparation', 'potatoes', 'vegetables', '4-hours-or-less']","['preheat oven to 500 degrees', 'microwave potatoes on high for 10 minutes , to speed up cooking time', 'this can come in handy , especially on a hot summer day', 'they can also be completely cooking in the microwave', 'then , bake in oven until tender , about 30 minutes', 'when done , cut 1 / 3 of top off each potato', 'scoop flesh from potatoes , being careful not to pierce the sking , into a medium bowl', 'reserve shells', 'add cream cheese , sour cream and butter to potato flesh', 'beat potato mixture with an electric mixer set at medium speed until smooth and creamy , about 3 minutes', 'add onion salt , salt , and pepper , stir', 'reduce oven temperature to 350 degrees', 'spoon potato mixture into potato shells', 'sprinkle with cheddar', 'bake until cheese melts and potatoes are heated through , about 15 minutes', 'the hard part comes into play here - enjoy !']","i believe this recipe came from a card from the easy everyday cooking collection, but since it is still packed, i can't tell you which card.  however, suffice it to say - it's good!",46
twice baked potatoes,"[""4 potatoes"", ""1/3 cup ricotta cheese"", ""1 tub of garden vegetable cream cheese"", ""1/2 tbsp onion powder"", ""1/3 cup of feta cheese"", ""4 pieces of bacon"", ""1 cup mozzarella cheese""]","[""potatoes"", ""ricotta cheese"", ""cream cheese"", ""onion"", ""feta cheese"", ""bacon"", ""mozzarella cheese""]",65,"['time-to-make', 'main-ingredient', 'preparation', 'potatoes', 'vegetables', '4-hours-or-less']","['preheat oven to 500 degrees', 'microwave potatoes on high for 10 minutes , to speed up cooking time', 'this can come in handy , especially on a hot summer day', 'they can also be completely cooking in the microwave', 'then , bake in oven until tender , about 30 minutes', 'when done , cut 1 / 3 of top off each potato', 'scoop flesh from potatoes , being careful not to pierce the sking , into a medium bowl', 'reserve shells', 'add cream cheese , sour cream and butter to potato flesh', 'beat potato mixture with an electric mixer set at medium speed until smooth and creamy , about 3 minutes', 'add onion salt , salt , and pepper , stir', 'reduce oven temperature to 350 degrees', 'spoon potato mixture into potato shells', 'sprinkle with cheddar', 'bake until cheese melts and potatoes are heated through , about 15 minutes', 'the hard part comes into play here - enjoy !']","i believe this recipe came from a card from the easy everyday cooking collection, but since it is still packed, i can't tell you which card.  however, suffice it to say - it's good!",47
chilli sauce,"[""1 can chopped tomato"", ""4 cloves garlic"", ""1 12 teaspoons cumin seeds"", ""3 green chilies, to taste"", ""1 lemon, juice of"", ""olive oil"", ""1 bunch fresh coriander"", ""salt"", ""pepper""]","[""tomato"", ""garlic"", ""cumin seeds"", ""green chilies"", ""lemon"", ""olive oil"", ""fresh coriander"", ""salt"", ""pepper""]",50,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'main-dish', 'from-scratch']","['directions', 'in a large resealable plastic bag , combine the first seven ingredients', 'mix well', 'remove 1 / 3 cup for basting', 'cover and refrigerate', 'add chicken to bag', 'seal and turn to coat', 'chill for at least 2 hours', 'drain and discard marinade from chicken', 'grill , covered , skin side down , over medium heat for 20 minutes', 'baste with some of the reserved marinade', 'turn', 'grill 10 minutes longer or until the chicken juices run clear , basting frequently', ""this can be varied with different pieces of chicken , and when the weather / time is un-cooperative , i've done these under the broiler , or even in a roasting dish with the sauce poured on top"", 'so delicious !']",awesome new twist on chicken,49
