title,quantities,ingredients,minutes,tags,steps,description,image_path
curried beef and onions,"[""1 12 flank steaks, trimmed (1/5 lbs)"", ""2 teaspoons oil"", ""salt and pepper"", ""1 tablespoon peeled ginger, minced"", ""3 cloves minced garlic"", ""2 cups onions, cut in eighths"", ""1 tablespoon curry powder"", ""1 teaspoon coriander"", ""1 can diced tomatoes or 1 12 cups fresh tomatoes"", ""12 cup plain yogurt""]","[""flank"", ""oil"", ""salt"", ""ginger"", ""garlic"", ""onions"", ""curry powder"", ""coriander"", ""tomatoes"", ""yogurt""]",50,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'beef', 'asian', 'chinese', 'dietary', 'low-carb', 'low-in-something', 'meat']","['marinate beef in soy sauce , curry , sesame oil , cornstarch and sugar 30 minutes', 'heat 2 tblsp', 'oil in frying pan until hot', 'add onions', 'stir-fry until light brown', 'remove from pan', 'set aside', 'heat 2 more tblsp', 'oil in frying pan until hot', 'stir-fry meat mixture for 3 minutes', 'add onions and water', 'stir-fry 2 minutes more', 'serve hot']",this is from the diana liu cookbook posted here for safe keeping.,66
chicken curry,"[""3 lb chicken"", ""1 cup plan yogurt"", ""1 cup oil"", ""2 tbsp ginger and garlic paste"", ""1 cup fried onion"", ""1 tbsp coriander powder"", ""1 tsp cumin seeds powder"", ""1 tbsp salt"", ""1 tsp red chili powder"", ""1 tsp turmeric powder""]","[""chicken"", ""plan yogurt"", ""oil"", ""ginger"", ""onion"", ""coriander powder"", ""cumin seeds powder"", ""salt"", ""red chili powder"", ""turmeric""]",135,"['curries', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'poultry', 'asian', 'easy', 'pakistani', 'chicken', 'dietary', 'low-sodium', 'low-in-something', 'meat', 'chicken-breasts', '3-steps-or-less', '4-hours-or-less']","['in a heavy pot heat 2 tablespoons of the oil over medium high heat , add the meat in small batches and salt and pepper to taste , saute the meat until it is browned on all sides', 'remove the meat to a plate', 'to the pot add the remaining oil and the onion and cook the onion , stirring occasionally , over medium heat for 5 minutes', 'add the garlic , curry powder , coriander , cumin , ginger , and cayenne and cook the mixture over medium low heat , stirring , for 1 minute', 'add the flour and cook the mixture , stirring , for 2 minutes', 'return the chicken breast to the pot , add the tomatoes and their liquid , chicken broth , raisins , lemon juice and zest , and salt and pepper to taste , bring the liquid to a boil , stirring , and simmer the curry , covered , for 1 1 / 2 hours', 'add the apple and simmer the curry , covered , for 30 minutes more , or until the meat is tender', 'serve with rice', 'to freeze: let the curry cool to room temperature , transfer it to a freezer container with a tight-fitting lid or to a resealable freezer bag , and freeze it for up to 2 months', 'to reheat: thaw the curry in the refrigerator', 'transfer the curry to a pot and simmer it over medium heat , covered , stirring occasionally , for 15 minutes , or until it is heated through', 'correct the seasoning , adding salt , pepper , and fresh lemon juice to taste', 'serve with rice']","a friend of mine from college helped me make this dish, although i was looking for something more spicier, this turned out to be very tasty. he knew i  liked curries and he being from pakistan - who better to teach me. now every time i make this dish i remember my good friend ahsad khan, god rest his soul, he passed away in 94.",67
caramel pudding,"[""1 tbsp water"", ""3 cup sugar"", ""2 cup water"", ""1 cup condensed milk"", ""3 eggs"", ""4 slice white breads"", ""1 tsp extract vanilla""]","[""water"", ""sugar"", ""water"", ""condensed milk"", ""eggs"", ""white breads"", ""vanilla""]",30,"['30-minutes-or-less', 'time-to-make', 'preparation', 'easy', 'dietary', 'gluten-free', 'free-of-something']","['melt the butter in a heavy skillet or large saucepan', 'add the brown sugar and salt , stirring constantly over medium-high heat until it caramelizes , about 5 minutes-be careful not to burn it', 'remove from the stove and slowly mix in 2 cups of the milk', 'return to the stove and heat to near boiling over medium heat , stirring constantly', 'combine the flour and cornstarch and stir in', 'then slowly add the remaining cup of milk', 'reduce heat to low and cook until thickened and smooth', 'remove a few tablespoons of the pudding , and stir them into the beaten eggs', 'then return the mixture to the pudding', 'cook another 2 minutes , being careful not to let it boil', 'remove from the heat and stir in the vanilla', 'to prevent a skin from forming on top , lay wax paper over it', 'serve warm or cold']","this comes from a cookbook called ""pennsylvania dutch cookbook"" by betty groff.",68
banana ice cream,"[""1 sliced FROZEN Banana"", ""1 tbsp almond milk""]","[""FROZEN Banana"", ""almond milk""]",1800,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'desserts', 'fruit', '1-day-or-more', 'easy', 'holiday-event', 'vegetarian', 'cakes', 'chocolate', 'dietary', 'seasonal', 'wedding', 'birthday']","['combine the oreo cookies and the melted butter , mixed until all of the cookies are evenly moistened , make it as a bottom layer in preparing pan', 'top with the banana slices', 'put the pan in the freezer for at least 10 to 15 minute', 'top the banana layer with the strawberry ice cream , as an offset to spread an ice cream into smooth even layer , and after doing this again put the pan in freezer for at least 30 minute after that spread the strawberry topping ice cream topping into the entire ice cream layer , and put the pan in freezer for min 1 hour', 'top the strawberry layer with the chocolate ice cream , as an offset to spread an ice cream into smooth even layer , and after doing this again put the pan in freezer for at least 30 minute after that spread the hot fudge sauce into the entire chocolate ice cream layer , and put the pan in freezer for min 1 hour', 'top the hot fudge sauce layer with the vanilla ice cream , use an offset to spread an ice cream into smooth even layer , and after that cover it with plastic wrap , and put it into the freezer , and freeze it over night', '1 hour before serving release the cake from the pan , and put it into the rounded plate of the same size , and wrap the pan with the hot kitchen towel , and keep it for 30 sec', 'remove the bottom of the pan if cardboard is used , and put it into the serving plate and again freeze for at least 10 minute', 'when the cake is in freeze making the whipped ice cream , mixed the heavy cream , sugar , vanilla extract in the bowl', 'using the whisk attachment , whip on medium speed , until the cream is light and holds , and medium to firm peak from 2 to 3 minute at the time of serving spread the whipped cream around the outer edge of the cream', 'top of the cake garnish with a cherry and fill the space in the middle with the pineapple topping and top with the chopped walnuts', 'now your yummy banana chocolate cake is ready to serve', 'for making this banana chocolate cake you have to plan for at least 1 day before']","cooking is my passion, and specially i love to cook cakes, as a professional i am a cake designer. banana ice cream cake is one of the best cake for this season,and almost many peoples love to eat ice cream,so that's i""ll try this one.",69
chocolate banana cupcakes,"[""1/2 cup unsalted butter . softend"", ""1 1/2 cup sugar"", ""1 tsp banana extract"", ""3 large eggs. room temp"", ""2 ripe bananas"", ""3 cup all purpose flour"", ""2 tsp baking powder"", ""1 tsp bakin soda"", ""1 pinch of salt"", ""1 tsp cinnamon"", ""1 cup sour cream""]","[""unsalted butter"", ""sugar"", ""banana"", ""eggs"", ""bananas"", ""flour"", ""baking powder"", ""bakin soda"", ""salt"", ""cinnamon"", ""sour cream""]",40,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'cupcakes', 'desserts', 'fruit', 'cakes', 'chocolate', 'cake-fillings-and-frostings', 'tropical-fruit', 'bananas']","['preheat the oven to 325f insert liners into medium cupcake pans', 'prepare cupcakes: in a bowl , sift flour , baking powder , salt and nutmeg', ""place butter and sugar in mixing bowl , beating with the mixer's flat beater on medium speed until mixture is light and airy"", 'reduce speed to low , add eggs one at a time , mixing well', 'add half the flour mixture , banana pure and then remaining flour mixture', 'finally , add chocolate shavings and stir', 'fill the cupcake liners two-thirds full', ""bake for 20-25 minutes , or until cupcakes are springy to the touch and a toothpick inserted in cupcake's center comes out clean"", 'remove from oven and cool on wire for 10 minutes', 'prepare frosting: in an electric mixer , beat cream cheese for about 2 minutes , untill cheese is soft and smooth', 'add powdered sugar and banana liqueur', 'continue beating mixture until frosting is smooth', 'with a spatula , spread frosting on each cooled cupcake , garnish with sliced bananas and chocolate shavings']","adapted from cupcakes, cupcakes and more cupcakes!",74
enchilada stack,"[""1 lb ground beef"", ""1 large chopped onion"", ""1 cup salsa"", ""1 cup sour cream"", ""3 cup shredded cheese"", ""1/2 dozen corn tortillas""]","[""ground beef"", ""onion"", ""salsa"", ""sour cream"", ""shredded cheese"", ""corn tortillas""]",55,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'main-dish', 'beef', 'vegetables', 'mexican', 'south-american', 'dietary', 'ground-beef', 'meat', 'onions', 'tomatoes']","['preheat oven to 350 degrees', 'brown the hamburger , drain off fat', 'add the onion , minced garlic , salsa and tomatoes', 'i can my own tomatoes but you can really use any tomato you want as long as you can kind of mash it up', 'sprinkle and mix in the enchilada sauce mix', 'let this simmer for 20 minutes for until this thickens up a bit', 'season to taste', 'spray with non stick cooking spray an 11 x 7 or a 9x13', 'cut the tortillas up to cover the bottom of the baking dish', 'layer the meat mixture , layer of cheese and then a layer of tortillas , meat , layer tortillas and then top with cheese to cover up the tortillas', 'cover with aluminum foil and bake for 30 minutes', 'remove foil and cook for another 10 min or until cheese melts and browns up just a bit', 'cut and serve with sour cream , diced tomatoes and lettuce']",i came up with this when i was pressed for time but had promised enchiladas for dinner - i may never make traditional enchiladas again. this is faster and easier and in my opinion just tastes better.,76
rainbow cupcakes,"[""1 box white cake mix"", ""1 asorted food coloring""]","[""white cake mix"", ""coloring""]",35,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'cupcakes', 'desserts', 'easy', 'beginner-cook', 'holiday-event', 'kid-friendly', 'cakes', 'dietary', 'gifts', 'inexpensive', 'novelty']","['mix the cake batter according to package directions', 'evenly divide prepared batter into several different bowls', 'the amount of bowls will depend on the amount of colors you want for your cupcakes', 'add a generous amount of gel food coloring to each bowl until you have a vibrant batter', 'i usually mix 7 bowls - red , orange , pink , yellow , green , blue , and purple', 'line your muffin tin with paper cups and then begin spooning the colored batter into the cups', 'add batter color by color , one tablespoon of red in each of the cups , then added a tablespoon of orange on top of the red , and so on until all colors were used', 'the colors will not ""leak""', 'fill the cups approximately 2 / 3 full of batter', 'bake as directed on the box', 'allow the cupcakes to cool completely , and frost to your liking', 'i used whipped cream cheese frosting to give the cupcakes a ""cloud"" effect']","these cupcakes have become quite popular on several of the livejournal baking communities.  they are fun, funky, and very easy to make!  a great project to do with kids!",78
stuffed chicken breasts,"[""4 boneless chicken breast"", ""4 oz hajdu cheese,sliced"", ""1 cup roasted sweet pepper"", ""1/4 cup fresh oregano"", ""1/4 cup all-purpose flour"", ""2 tbsp olive oil"", ""1 cup chicken broth"", ""2 tsp flour"", ""1/2 cup chicken broth"", ""1 salt and pepper to taste"", ""1/2 cup mushroom"", ""1 a knob of butter""]","[""chicken breast"", ""hajdu cheese"", ""sweet pepper"", ""fresh oregano"", ""all-purpose"", ""olive oil"", ""chicken broth"", ""flour"", ""chicken broth"", ""salt"", ""mushroom"", ""butter""]",55,"['60-minutes-or-less', 'time-to-make', 'main-ingredient', 'preparation', 'occasion', 'poultry', 'dinner-party', 'chicken', 'meat', 'chicken-breasts']","['preheat oven to 375f', 'in small mixing bowl combine green onion , parsley flakes , salt , pepper and garlic powder', 'set aside', 'place one piece of cheese in center of each chicken breast', 'top with one-fourth of onion mixture', 'starting at narrow edge , roll each breast tightly , tucking in sides to enclose cheese and onion mixture', 'dredge with flour', 'in small bowl combine bread crumbs , parmesan cheese , salt and pepper', 'dip each rolled breast in beaten egg , then in crumb mixture to coat', 'spray a 9 x 9 x 2-inch pan with crisco no stick cooking spray', 'generously spray each of coated breasts with crisco no stick cooking spray and arrange in pan', 'bake for 30 to 35 minutes , or until golden brown']",found on crisco.com,80
cookie dough truffles,"[""1/2 cup butter, softened"", ""1 can sweetened condensed milk"", ""3/4 cup brown sugar"", ""1 tsp vanilla"", ""2 cup flour"", ""1/2 cup mini chocolate chips"", ""1 1/2 lb chocolate chips""]","[""butter"", ""condensed milk"", ""brown sugar"", ""vanilla"", ""flour"", ""chocolate chips"", ""chocolate chips""]",35,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'chocolate']","['in a large bowl cream butter and brown sugar with an electric mixer at medium speed until creamy', 'add vanilla', 'gradually beat in flour and add milk', 'mix well', 'add chocolate chips and the optional pecans , mixing well', 'shape into 1-inch balls', 'place them on wax paper', 'chill for at least 2 hours to set', 'in a double boiler , melt the chocolate for about 5-10 minutes and completly melted', 'dip each individual ball in the melted chocolate using two forks', 'set back on the wax paper', 'chill again for at least 1 hour and set']","i saw this on an episode of paula deen and they looked so good! i love to eat cookie dough. the pecans can be optional, i personally don't like nuts, and for those that are allergic they can be omitted.",81
marshmallow fudge,"[""4 oz marshmallows"", ""1 lb icing sugar"", ""4 oz butter"", ""1 tsp vanilla essence"", ""2 tbsp milk""]","[""marshmallows"", ""icing sugar"", ""butter"", ""vanilla"", ""milk""]",15,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'fudge', 'desserts', 'easy', 'candy', '3-steps-or-less']","['line an 8-in', 'square pan wih foil and coatwith cooking spray', 'set aside', 'in a heavy saucepan over low heat , mel chocolatechips with milk', 'stir until smooth', 'remove from the hear', 'cool for 2 minutes', 'stir in vanilla', 'fold in the marshmallows and graham crackers', 'pour into the prepared pan', 'refrigerate for 1 hour or until firm', 'lif out pan and remove foil']",my daughter loves this fast fudge recipe!,82
shrimp pasta,"[""1 angel hair pasta"", ""2 lb cooked medium shrimp"", ""1 chopped tomato"", ""1 chopped onion"", ""1 chopped cilantro"", ""1 mayonaise"", ""1 salt""]","[""pasta"", ""shrimp"", ""tomato"", ""onion"", ""cilantro"", ""mayonaise"", ""salt""]",25,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'main-dish', 'pasta', 'seafood', 'european', 'low-fat', 'italian', 'shrimp', 'dietary', 'low-sodium', 'low-saturated-fat', 'low-calorie', 'low-in-something', 'pasta-rice-and-grains', 'shellfish']","['prepare pasta according to direction', 'heat olive oil in a large saucepan over medium heat', 'add onion', 'cook , stirring , about 5 minutes until translucent', 'add garlic and cook additional 30 seconds - 1 minute until fragrant', 'add shrimp , white wine , tomatoes , and artichoke hearts', 'cook until shrimp are pink / opaque , stirring occasionally , about 5 minutes', 'combine pasta with shrimp mixture', 'add in chopped basil , stir well to combine , and cover pan', 'let sit for about 2 minutes , or until basil wilts and shrimp are opaque', 'season with salt and pepper to taste', 'serve hot with freshly grated parmesan cheese']","every once in a while, we have a cooking contest to see who can make the best dish for under $15.  some friends made this pasta, and it was a hands-down winner - delicious and simple to prepare.  if you like shrimp, you will love this recipe!",86
bacon wrapped stuffed chicken,"[""4 each boneless skineless chicken breast"", ""4 slice applewood bacon"", ""1 tsp oregano"", ""4 tbsp pesto sauce"", ""4 slice fresh mozzarella cheese"", ""1 tbsp McCormick Montreal's chicken seasoning"", ""1 tsp rosemary"", ""2 tbsp olive oil"", ""1 tsp fresh cracked black pepper"", ""8 toothpicks"", ""1 box whole wheat linguine"", ""4 tbsp olive oil"", ""3 tbsp pesto sauce"", ""1 tsp dried parsley flakes"", ""3/4 cup fresh grated parmesan cheese"", ""1 cup fresh spring mix"", ""2 zuchinni"", ""1 drizzle of balsamic vinegar"", ""1 olive oil""]","[""chicken breast"", ""bacon"", ""oregano"", ""pesto sauce"", ""mozzarella cheese"", ""Montreal's chicken seasoning"", ""rosemary"", ""olive oil"", ""pepper"", ""toothpicks"", ""whole wheat linguine"", ""olive oil"", ""pesto sauce"", ""parsley flakes"", ""fresh grated parmesan cheese"", ""fresh spring mix"", ""zuchinni"", ""drizzle of balsamic vinegar"", ""olive oil""]",60,"['60-minutes-or-less', 'time-to-make', 'main-ingredient', 'preparation', 'poultry', 'easy', 'chicken', 'meat', 'chicken-breasts', '3-steps-or-less']","['pound chicken breast thin between 2 plastic bags', 'fry 6 slices of the bacon until crisp and crumbly', 'reserve 3 tablespoons of bacon drippings', 'combine stuffing mix , water , bacon drippings , celery , crumbled bacon , and onion', 'you may also add bits of boiled chicken or ham or sausage', 'mix well', 'place 1 / 3 cup stuffing on each chicken breast and roll up', 'wrap each with 1 slice of bacon and place seam side down in a glass casserole dish', 'bake at 350 degrees for 30 minutes', 'brush sauce over chicken', 'do not cover bacon with sauce', 'continue to bake another 30 minutes']","i saw this recipe and new i had to try it.  i am not ""certain"" about the sauce, but i will reply once i cook it.  i am going to sub. the bacon with turkey back and hope it does well!",87
stuffed shells,"[""4 cup shredded mozzerela cheese"", ""15 oz ricotta cheese"", ""10 oz frozen chopped spinach, thawed and drained"", ""12 oz jumbo pasta shells, cooked and drained"", ""28 oz spaghetti sauce""]","[""mozzerela cheese"", ""ricotta cheese"", ""spinach"", ""pasta shells"", ""sauce""]",60,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'pasta', 'european', 'italian', 'pasta-rice-and-grains', 'pasta-shells']","['cook shells according to package directions', 'put in cold water to stop cooking', 'drain', 'while shells are cooking , mix together cottage cheese , mozzarella cheese , 1 / 2 c parmesan cheese , eggs , and garlic powder', 'rub the dried herbs in the palms of your hands to pulverize them', 'stir them into the cheese mixture', 'stuff the cheese mixture into the shells', 'spread 1 / 4 of the spaghetti sauce in the bottom of a 15x10 pan', 'place shells open side up , and close together in the pan', 'spread the remaining sauce over top and sprinkle with remaining 1 / 4 c parmesan cheese', 'bake at 350 degrees for 30-35 minutes or until bubbly', 'let stand 10 minutes before serving']","no ricotta! no meat! no spinach! these are delicious cheese stuffed shells. i can't remember where i found this recipe, but it is used at cornerstone memories (cornerstonememories.net), a scrapbook retreat house. the guests love it and are always asking for the recipe. you can easily make the shells with the mixture inside and then freeze them. just thaw and follow from step #4. i use prego, but any type sauce will do fine. delicious!",88
stuffed peppers,"[""2 each pointed red peppers"", ""1 packages mascarpone"", ""1 tsp chopped chilli"", ""1 tsp garlic finely chopped"", ""1 juice of one lime"", ""2 tbsp grated parmesan"", ""1 tbsp chopped fresh chives"", ""1 dash lea and perrins""]","[""red peppers"", ""mascarpone"", ""chilli"", ""garlic"", ""lime"", ""parmesan"", ""fresh chives"", ""perrins""]",40,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'beef', 'rice', 'vegetables', 'oven', 'easy', 'ground-beef', 'meat', 'pasta-rice-and-grains', 'peppers', 'equipment']","['pre-heat oven to 350', 'place the ground beef in frying pan to brown', 'dice the onion and garlic and place in frying pan with beef', 'add spices', 'cut of the tops of the peppers remove cores', 'dice whatever you can salvage from the tops and add to the pan', 'chop spinach roughly and add to pan', 'once beef is browned completely add rice to pan', 'pour jar of tomato sauce into pan , reserving about 1 / 4 for on top of the peppers', 'stuff the peppers and place in baking dish', 'pour remainder of tomato sauce on top and place in oven', 'bake for 30 minutes']","my husband tends to have these wonderful ideas of the things that his mother used to cook for him.  he describes as best he can , and i create as best i can, and more in favor of my own taste of course.  these turned out beautifully, and although never the same as mom, my husband enjoyed them.  oh, and don't ask him who cooks better, because you'd never get a straight answer.

as in most stuffed pepper recipes it's important to pick your peppers for this specifically, ones with flat bottoms so that they'll stand up while cooking in the oven.
i used basmati rice, since it was what i had on hand at the time, of course i'm sure that almost any rice would work.
i made way too much stuffing the first time i made this, any leftovers, make a decent stuffing for tomatos as well, even a side salad for another meal, it gets better with a little time.
i prefer my peppers cooked and slightly soft but still crisp, length of time in the oven is according to preference.
always an option to sprinkle with cheese about 10 minutes before done as well.",91
homemade vanilla extract,"[""1 cup vodka"", ""3 vanilla beans, split lengthwise""]","[""vodka"", ""vanilla beans""]",129600,"['time-to-make', 'preparation', 'occasion', 'for-large-groups', '5-ingredients-or-less', '1-day-or-more', 'easy', 'gifts', 'oamc-freezer-make-ahead', 'inexpensive', 'number-of-servings', 'from-scratch']","['carefully open the bottle of brandy', 'pour off approximately one shot of liquid', 'on a small cutting board slice vanilla beans in half , then again length wise', 'this will produce 4 strips of vanilla bean husk per each original bean', 'with a sharp fine', 'put all gathered vanilla pulp straight into bottle of brandy , and then place the husk inside the bottle as well', 'repeat until all slices of bean husk have been stripped and dropped into the bottle', 're-cork / close bottle and gently shake to disburse the vanilla husks and pulp in the liquid', 'this is a very slow steeping process so do not rush the immersion', 'store bottle on in a space where you will remember to stir / swirl the bottle aprox once a week for at least 2 to 3 months', 'when you pour off some of your homemade vanilla into a smaller bottle for easier usage , remember to refill the original bottle back up with fresh alcohol , and begin the immersion process again', 'the original beans will last at several steeps , in fact my original vanilla has been used for 4 batches now']","after getting a very poor bottle of vanilla extract from the ""fine goods"" grocery store a couple years ago i researched how to make my own vanilla from scratch. you may use several different kinds of alochol but i much prefer the heavier sweeter brandy to the more commonly used rum or vodka. i specifically use the korbel xs because in the distilling process they use extra vanilla and spices in their recipe.",93
potato-sausage casserole,"[""1 bag shredded hash brown"", ""1 package smoked sausage or 1 package Little Smokies sausage"", ""1 can cream of mushroom soup"", ""1 can cream of celery soup"", ""1 dash salt and pepper"", ""12 bag shredded cheddar cheese"", ""milk (if ingredients are not wet enough) (optional)""]","[""brown"", ""sausage"", ""cream of mushroom soup"", ""cream of celery soup"", ""salt"", ""cheddar cheese"", ""milk""]",80,"['time-to-make', 'course', 'preparation', 'main-dish', 'dietary', 'low-carb', 'low-in-something', '4-hours-or-less']","['preheat oven to 350 degrees', 'spray 1 1 / 2 quart casserole with nonstick cooking spray , set aside', 'cook sausage , stirring to separate , in large skillet over medium heat until no longer pink , drain fat and discard', 'stir together soup , milk , onion , salt and pepper in medium bowl', 'place half of potatoes in prepared casserole', 'top with half of soup mixture , top with half of sausage', 'repeat layers , ending with sausage', 'dot with butter cubes', 'cover pan with foil', 'bake 1 1 / 4 hours or until potatoes are tender', 'uncover , sprinkle with cheese', 'return to oven , bake until cheese is melted and bubbly']",this recipe came from the potluck cookbook.,94